titre	sous_titre	description	cat	sous_cat	link	link_title	lieu	img	img_alt	date
Accordéon chromatique Hohner-Morino		Accordéon chromatique Hohner-Morino, instrument des collections du Musée de la musique. Cet accordéon, appartenait à Freddy Balta, virtuose de l’accordéon qui interpréta les répertoires classique.	vents		./0818063-accordeon-chromatique-hohner-morino.aspx	 Description de l’accordéon chromatique Hohner-Morino - Vers 1950		https://drop.philharmoniedeparis.fr/CMFM/CMFM000006400/818063-CMIM000_660.jpg	Incontournable - Accordéon chromatique Hohner-Morino - Musée de la musique	
Alto de Bernardel père		L’alto Bernadel Père est un instrument incontournable des collections du Musée de la musique. Contemporain de la Symphonie fantastique de Berlioz, cet alto est représentatif de la musique symphonique.	cordes		./0158213-alto-de-bernadel-pere.aspx	Description de l’alto de Bernardel père de 1834		https://drop.philharmoniedeparis.fr/CMFM/CMFM000002400/158183_CMIM000024696_600.jpg	Incontournable - Alto de Bernardel Père - Musée de la musique	
Amplificateur Fender		L’amplificateur Fender « Princeton », un instrument incontournable des collections du Musée de la musique. La Fender Electric Instrument Company débute son activité par la production d’amplificateurs.	inclassables		./0157147-amplificateur-fender.aspx	 Description de l’amplificateur Fender de 1965		https://drop.philharmoniedeparis.fr/CMFM/CMFM000001400/157147_CMIM00023768_LD.JPG	Incontournable - Amplificateur Fender - Musée de la musique	
Archiluth de Christoph Koch		Archiluth de Christoph Koch, instrument du Musée de la musique. L’archiluth possède un manche allongé retenant une série de longues cordes jouées « à vide », destinées à renforcer le registre grave.	cordes		./0161217-archiluth-christoph-koch.aspx	Description de l’archiluth de Christoph Koch de 1654		https://drop.philharmoniedeparis.fr/CMFM/CMFM000004800/161217_CMIM000019496_600.jpg	Incontournable - Archiluth Christoph Koch - Musée de la musique	
Basse de viole de Michel Collichon		La Basse de viole de Michel Collichon, instrument des collections du Musée de la musique. Moins de dix violes réalisées par ce luthier ont été recensées, toutes fabriquées entre 1683 et 1693.	cordes		./0130214-basse-viole-de-michel-collichon.aspx	Description de la Basse de viole de Michel Collichon de 1683		https://drop.philharmoniedeparis.fr/CMFM/CMFM000000300/130214_CMIM00029357_LD.jpg	Incontournable - Basse de viole Michel Collichon - Musée de la musique	
Charango		Le Luth charango (Bolivie), instrument incontournable des collections du Musée de la musique. Le luth Charango est un instrument hybride, fruit de la rencontre des cultures indigènes et européennes.	cordes		./0156700-luth-charango.aspx	Description du Charango de 1981		https://drop.philharmoniedeparis.fr/CMFM/CMFM000001100/156700_CMIM00023192_LD.jpg	Incontournable - luth charango - Musée de la musique	
Cistre attribué à Girolamo Virchi		Cistre de Girolamo Virchi, instrument incontournable des collections du Musée de la musique. Apparu à la fin du Moyen Âge, le cistre est l’un des principaux instruments à cordes pincées en Europe.	cordes		./0160997-cistre-girolamo-virchi.aspx	Description du cistre attribué à Girolamo Virchi		https://drop.philharmoniedeparis.fr/CMFM/CMFM000010800/160997_CMIM000015102_LD_660.jpg	Instrument incontournable - Cistre attribué à Girolamo Virchi - Musée de la musique	
Cithare sur tube <i>bin</i> ou <i>rudra-vina</i>		Cithare sur tube Bin ou Rudra-vina (Inde), instrument des collections du Musée de la musique. Cet instrument à cordes pincées, créée dit-on par le dieu Shiva, est un emblème de la tradition indienne.	cordes		./0159145-cithare-sur-tube-bin-ou-rudra-vina.aspx	Description de la cithare sur tube Bin ou Rudra-vina - XVIIe siècle		https://drop.philharmoniedeparis.fr/CMFM/CMFM000003500/159145_CMIM000029119_LD.jpg	Incontournable - Cithare sur tube bin ou rudra-vina - Musée de la musique	
Cithare <i>koto</i>		Cithare koto (Japon), instrument incontournable des collections du Musée de la musique. Le koto appartient à la famille des cithares et plus précisément à la catégorie des cithares sur caisse bombée.	cordes		./0162123-cithare-koto.aspx	Description du cithare koto vers 1780		https://drop.philharmoniedeparis.fr/CMFM/CMFM000005900/162123_CMIM000024952_660.jpg	Incontournable - Cithare Koto - Musée de la musique	
Clavecin Giovanni Antonio Baffo		Clavecin de Giovanni Antonio Baffo, instrument incontournable des collections du Musée de la musique. Ce clavecin est représentatif des grands clavecins vénitiens du XVIe siècle.	claviers		./0160603-clavecin-giovanni-antonio-baffo.aspx			https://drop.philharmoniedeparis.fr/CMFM/CMFM000010900/160603_CMIM000023996_LD_660.jpg	Instrument incontournable - Clavecin Giovanni Antonio Baffo - Musée de la musique	
Clavecin Jean-Claude Goujon		Le Clavecin de Jean-Claude Goujon, instrument des collections du Musée de la musique, au décor somptueux est un précieux témoignage de l’évolution de la facture française de clavecin au XVIIIe siècle.	claviers		./0158208-clavecin-jean-claude-goujon.aspx			https://drop.philharmoniedeparis.fr/CMFM/CMFM000000200/158208-_CMIM000023622_LD.jpg	Incontournable - Clavecin Jean-Claude Goujon / Jacques Joachim Swanen- Musée de la musique	
Clavecin Andréas Ruckers Pascal Taskin		Le clavecin Ruckers et Taskin à double clavier, instrument des collections du Musée de la musique, fut décoré par ces deux artistes renommés. Il marque l’évolution des factures flamande et française.	claviers		./0162260-clavecin-ruckers-taskin.aspx			https://drop.philharmoniedeparis.fr/CMFM/CMFM000006200/162260_CMIM000023601_LD.jpg	Incontournables - Clavecin Ruckers / Taskin - Musée de la musique	
Clavecin Ioannes Couchet		Clavecin Ioannes Couchet, instrument incontournable des collections du Musée de la musique. Classé trésor national, acquis en 2003 par le Musée de la musique, ce clavecin est une pièce exceptionnelle.	claviers		./0772585-clavecin-ioannes-couchet.aspx			https://drop.philharmoniedeparis.fr/CMFM/CMFM000006300/772585_CMIM00027405_LD.jpg	Incontournables - Clavecin Ioannes Couchet - Musée de la musique	
Clavecin Vincent Tibaut		Le Clavecin Vincent Tibaut, instrument des collections du Musée de la musique. Longtemps mésestimée, la facture française de clavecins fut effacée par le prestige des factures flamandes et italiennes.	claviers		./0160632-clavecin-vincent-tibaut.aspx			https://drop.philharmoniedeparis.fr/CMFM/CMFM000004200/160632_CMIM000023730_LD.jpg	Incontournable - Clavecin Vincent Tibaut - Musée de la musique	
Clavecin Jean Henry Hemsch		Clavecin de Jean-Henry Hemsch, instrument incontournable des collections du Musée de la musique. Les clavecins de Jean-Henry Hemsch se caractérisent par une construction extrêmement soignée.	claviers		./0162244-clavecin-de-jean-henry-hemsch.aspx			https://drop.philharmoniedeparis.fr/CMFM/CMFM000010400/162244_CMIM000023877_LD_660.jpg	Instrument incontournable - Clavecin Jean-Henry Hemsch - Musée de la musique	
Clavicorde lié		Clavicorde lié, instrument des collections du Musée de la musique. Le clavicorde est, avec l’orgue, l’instrument à clavier le plus ancien. Il disparait au profit du piano dès le début du XIXe siècle.	claviers		./0162212-clavicorde-lie.aspx			https://drop.philharmoniedeparis.fr/CMFM/CMFM000006100/162212_CMIM000023532_LD.jpg	Incontournable - Clavicorde lié - Musée de la musique	
Clavicorde lié dit «&nbsp;de Lépante&nbsp;»		Clavicorde lié de Lépante, instrument des collections du Musée de la musique. La bataille navale peinte sur le couvercle a donné son nom à l’instrument. Il s’agit de la défaite de la flotte turque.	claviers		./0161358-clavicorde-lie-dit-de-lepante.aspx			https://drop.philharmoniedeparis.fr/CMFM/CMFM000004900/161358_CMIM00023441_LD.jpg	Incontournable - Clavicorde lié dit «de Lépante» - Musée de la musique	
Clavioline		Clavioline Selmer, instrument des collections du Musée de la musique. Inventé par Constant Martin, inventeur français dans le domaine des orgues électroniques, cet instrument a connu un succès mondial.	electroniques		./0160198-clavioline-selmer.aspx	 Description du clavioline par Constant Martin- 1954		https://drop.philharmoniedeparis.fr/CMFM/CMFM000010000/160198_CMIM000022719_LD_660.jpg	Incontournable - Clavioline - Selmer - Musée de la musique	
Contrebasse à trois cordes de Jean-Baptiste Vuillaume		Contrebasse à trois cordes de Jean-Baptiste Vuillaume, instrument incontournable des collections du Musée de la musique. Vuillaume est le chef de file de l’école française de lutherie au XIXe siècle.	cordes		./0130205-contrebasse-a-trois-cordes-vuillaume.aspx	La contrebasse à trois cordes de Jean-Baptiste Vuillaume vers 1850		https://drop.philharmoniedeparis.fr/CMFM/CMFM000009400/130205_CMIM000026139_LD.jpg	Instrument incontournable - Contrebasse à trois cordes - Jean-Baptiste Vuillaume - Musée de la musique	
Cor de basset d’amour		Cor de basset d’amour, instrument incontournable des collections du Musée de la musique. Comme la clarinette, le cor de basset « d’amour » est doté d’une anche simple et d’une perce cylindrique.	vents		./0158843-cor-de-basset-damour.aspx	 Description du cor de basset d’amour - Fin XVIIIe siècle		https://drop.philharmoniedeparis.fr/CMFM/CMFM000002800/158843_CMIM000011034_660.jpg	Incontournable - Cor de basset d’amour - Musée de la musique	
Cor de Lucien Joseph Raoux		Le Cor de Lucien-Joseph Raoux est un instrument incontournable des collections du Musée de la musique. Instrument à vent de la famille des cuivres, le cor se caractérise par un tube à perce étroit.	vents		./0157785-cor-lucien-joseph-raoux.aspx	 Description du cor de Lucien Joseph Raoux de 1821		https://drop.philharmoniedeparis.fr/CMFM/CMFM000001600/157785_CMIM000020066_LD.jpg	Incontournable - Cor Lucien-Jospeh Raoux - Musée de la musique	
Cor vocal en ut de François Millereau		Cor vocal en ut de François Millereau, instrument des collections du Musée de la musique. Présenté à l’Exposition universelle de 1878, le cor de Millereau est décrit comme une sorte de saxhorn-alto.	vents		./0898349-cor-vocal-en-ut-francois-millereau.aspx	 Description du cor vocal en ut de François Millereau - Vers 1878		https://drop.philharmoniedeparis.fr/CMFM/CMFM000006500/898349_CMIM00027998_LD.jpg	Incontournable - Cor vocal en ut - François Millereau - Musée de la musique	
